age,sex,total_mean,total_lower_p95,total_upper_p95
54,Male,0.20562007032357152,0.15424712493602422,0.2698464879309964
55,Both,0.21508580544651318,0.16177621165680248,0.2808764967580278
55,Female,0.2151318336957735,0.15594225743098628,0.29171960957239945
55,Male,0.21594972345592692,0.15997284422661792,0.2865195116926695
56,Both,0.2261549239270874,0.1747604965657974,0.2900294692412063
56,Female,0.2261731859388497,0.1676353063780326,0.3013673348482686
56,Male,0.2271613967941676,0.1732176171639251,0.29598270092603174
57,Both,0.2368041302305636,0.184741628787045,0.30129227495621846
57,Female,0.23684403231373863,0.1768280967532282,0.3125996929138321
57,Male,0.23787441285391608,0.1831808557870943,0.3079564483624015
58,Both,0.2472240855638584,0.1925517382202831,0.3152099157375338
58,Female,0.247386149541324,0.18427560823061492,0.3268299229755246
58,Male,0.24823750895035052,0.1906383254004653,0.322186435524475
59,Both,0.2574608602744645,0.19818343056083879,0.3315492019314854
59,Female,0.2580247991066047,0.1897468869755006,0.34396773393495567
59,Male,0.258157462452121,0.19608951974286917,0.33832287163172625
60,Both,0.267848244574663,0.20241487907853534,0.3494533203193486
60,Female,0.2688133138822268,0.1948114616725959,0.3627681150333413
60,Male,0.26822580914568467,0.2005083355351431,0.3567080341299582
61,Both,0.2799543021456076,0.2172978956239522,0.3583035219620966
61,Female,0.2810854513586809,0.2089442150515837,0.3729567428179727
61,Male,0.2802619054390007,0.21447510126024108,0.3663177735263523
62,Both,0.2915726300081413,0.2293305637612995,0.3696736861608098
62,Female,0.29263763956812133,0.2198962321894593,0.3850795154361036
62,Male,0.2920509174892003,0.22605690788071758,0.3769659036476788
63,Both,0.3043656096369472,0.2401824959922845,0.3844019600290534
63,Female,0.3051422778168376,0.2300573086400491,0.4004599985614782
63,Male,0.3052263622530136,0.23656319316136368,0.3931747600313488
64,Both,0.31709343354279956,0.24901101715820848,0.4025186392999147
64,Female,0.31723718887633634,0.23736370971815288,0.4180004689196901
64,Male,0.3186844853283014,0.2457112086637644,0.4126801243719409
65,Both,0.32978962294417996,0.255982105612774,0.42373974177314505
65,Female,0.3292936935117665,0.24302011943832041,0.4395574346157572
65,Male,0.3321051530968624,0.2534325326006418,0.43491209227405087
66,Both,0.3432864622932792,0.2723338407618236,0.4338196916658757
66,Female,0.34218870183078753,0.2569614559971416,0.4511082618199787
66,Male,0.34627731679000634,0.26997547091620366,0.44619440844572167
67,Both,0.3559990217461745,0.2847118872950202,0.4465235346159393
67,Female,0.3546112232545566,0.26816590676468094,0.4640549772817574
67,Male,0.3593629320613298,0.28209959942341095,0.45847038835891163
68,Both,0.3687564474390378,0.2939625795269118,0.4619358051412693
68,Female,0.3673412178304218,0.2774598861739566,0.4808201068914366
68,Male,0.3721817250982222,0.2912599254442017,0.47469471541176067
69,Both,0.3809478676898701,0.30044437229037496,0.4812755036763494
69,Female,0.37947938206919896,0.2840977411988888,0.5004833653158345
69,Male,0.3844720549049474,0.29788123562675234,0.4938686895786579
70,Both,0.393748750606941,0.30629594478272565,0.5040958714473249
70,Female,0.39209259147778325,0.2909554954333122,0.5230323533722384
70,Male,0.3975331326432352,0.30362354057978813,0.5175232617876961
71,Both,0.40990538408152616,0.3242947415271546,0.5170231244322092
71,Female,0.40866753281529483,0.30719131153997664,0.5382158839347594
71,Male,0.4134686374451351,0.3211584022140223,0.5318540014917995
72,Both,0.4252198380626536,0.33827625651842963,0.5335345543933081
72,Female,0.4225909734667645,0.3186857510188743,0.5537511407016875
72,Male,0.4305931249561456,0.3359363364784217,0.5505423233213604
73,Both,0.4411156304259123,0.34948346945615083,0.5547889114752169
73,Female,0.439911482040426,0.33101968350173566,0.5764215394691208
73,Male,0.44505926973855886,0.3446246287671347,0.5706756557674979
