age,sex,total_mean,total_lower_p95,total_upper_p95
61,Male,0.28038867888048996,0.2147028835105265,0.3666175565253184
62,Both,0.2916828964500844,0.2295826387712979,0.36971702087365954
62,Female,0.2927095610565743,0.2201124283064467,0.3849953243311069
62,Male,0.2922061334494022,0.22628859460116502,0.3772752319874508
63,Both,0.3045072757533927,0.2404315798968465,0.38450182562681273
63,Female,0.3052389890761902,0.2302777739243594,0.4004288879846218
63,Male,0.3054215033558302,0.236825274812001,0.39358786538005824
64,Both,0.31727374333168645,0.24924588681851187,0.4027316235513621
64,Female,0.31736094099621537,0.23756995930745298,0.4180863106803777
64,Male,0.3189341231521536,0.2459584009863055,0.4131775050546662
65,Both,0.3300104056970767,0.2562696618746829,0.42409931933216055
65,Female,0.32944677298846825,0.2432232017146565,0.43975379467022596
65,Male,0.3324103498869584,0.2537189471939802,0.43554243501269874
66,Both,0.3435456599506359,0.2726505157159343,0.4342123023430188
66,Female,0.3423678674448983,0.2572320337294138,0.4513112728940501
66,Male,0.34663662911174686,0.2702933734463759,0.4468982637826179
67,Both,0.3562869197250664,0.28502411559628016,0.446955065735128
67,Female,0.35480850550471027,0.2684791721174128,0.46429798960339
67,Male,0.3597645103383986,0.2824925006011038,0.4591122493185819
68,Both,0.36907008154953747,0.2942931302396914,0.4624652963669623
68,Female,0.3675596076883201,0.2777370873195828,0.48102430191883394
68,Male,0.3726131052863914,0.2917123836842647,0.4752619483762536
69,Both,0.3812812685237743,0.3008538793412654,0.48179011456270776
69,Female,0.379713414165596,0.28430408687190933,0.5007490771921131
69,Male,0.3849266985017882,0.2983505681132334,0.49444330578229223
70,Both,0.39410743987961666,0.3067030437583257,0.5046026535085851
70,Female,0.39234392775528776,0.2912128222985371,0.5233175527616392
70,Male,0.3980228062825089,0.3040656525998544,0.5181377025371093
71,Both,0.4103274772799484,0.3247837012400294,0.5176099685182911
71,Female,0.40899435301696,0.3074956003046778,0.5385812386887919
71,Male,0.413999167878239,0.3216793916511575,0.5325232196640828
72,Both,0.42568706737950174,0.33881877939542654,0.5340974802319326
72,Female,0.42293405840596787,0.3190305280974344,0.5543133961349015
72,Male,0.4312186237433549,0.3365746817500972,0.5511509548933564
73,Both,0.4415726831713528,0.3500233622632554,0.5552048809338835
73,Female,0.4402664318803683,0.3313886234655059,0.5770732758874373
73,Male,0.44563708510445055,0.3453721196832446,0.5712367768903749
74,Both,0.45771068471299914,0.3591919455953761,0.5803414342936236
74,Female,0.4556331384061659,0.34062497642076894,0.6013847021825102
74,Male,0.46266523588654695,0.35526567762437417,0.5974518893441991
75,Both,0.47143519139716616,0.36422712006371305,0.607532654045498
75,Female,0.46878830797762316,0.34652364039377703,0.6268213199119023
75,Male,0.47703426442019375,0.36098084306218986,0.6253815897824554
76,Both,0.4917346486229437,0.3868985700675465,0.6255887144713708
76,Female,0.48978621529222405,0.3663133133988188,0.647604752947513
76,Male,0.4967185418172533,0.3819660055600942,0.6437555551359722
77,Both,0.5087121169555515,0.4010149731522495,0.645048878251615
77,Female,0.5065337247713537,0.3793108772744602,0.6673245437708492
77,Male,0.514130440551838,0.3965772628188845,0.6637151524485349
78,Both,0.5276449629040729,0.4145747092238473,0.670182476959321
78,Female,0.5246836168572152,0.3912980649419152,0.6916318540096449
78,Male,0.5342924032973007,0.41039971006711856,0.6916273058879697
79,Both,0.5404416207597977,0.4199735396044367,0.6923523411195931
79,Female,0.5353505487748483,0.3954321323327505,0.7107028137010771
79,Male,0.5493526252822423,0.4180779774480388,0.7178737524742893
80,Both,0.5564460645200432,0.4264266511960614,0.7215997480618432
80,Female,0.5504464408410008,0.4020919417063819,0.7393723953440753
80,Male,0.5664458512836137,0.4260723214296766,0.749032123045944
81,Both,0.577063454755824,0.44883096368413333,0.7389506288289914
81,Female,0.5699291036288759,0.42041068287360855,0.7574419347363757
81,Male,0.5884973713039401,0.4499205004891545,0.7697854317127323
82,Both,0.5955207002109678,0.46487655074039824,0.7581686507491414
82,Female,0.5873934664340008,0.433399302309417,0.7777644303502665
82,Male,0.6084941800226918,0.4662366606624972,0.791352306721353
83,Both,0.6148131310150258,0.47710616934363825,0.7836868385916047
83,Female,0.6062051394006546,0.44577871525762364,0.804996306686601
83,Male,0.6279734756899005,0.47925470415777344,0.8177738380982689
84,Both,0.6340145276150461,0.48752582394315447,0.818020362728473
84,Female,0.6249657837463413,0.4558668860474687,0.8388969036988272
84,Male,0.6475803832891633,0.4909292341138209,0.84997411765754
85,Both,0.6563853564328421,0.49900879823155453,0.858184932722161
85,Female,0.6478112366815355,0.4680387358564871,0.8805628505684601
85,Male,0.6691659926645197,0.5015227264129617,0.8894795563717279
86,Both,0.6788701352326945,0.5220266939782021,0.8788201194912458
86,Female,0.6708021203790732,0.4900687663805342,0.9046995467001535
86,Male,0.6907479242230065,0.5216506992510243,0.9080186520400431
87,Both,0.6989193627465188,0.5389408483544065,0.9012981438237556
87,Female,0.690771278776052,0.5053560918091227,0.9300073492005229
87,Male,0.7103447310624158,0.5367783158785816,0.9305609976747794
88,Both,0.719864647950663,0.5515989405096711,0.93145564072452
88,Female,0.7121090670745985,0.519017187283083,0.9610129311835571
88,Male,0.7305570446592791,0.548256084221577,0.9615296305247639
89,Both,0.7403619536174272,0.5607253979925549,0.9665793630818377
89,Female,0.7332025031687808,0.5305808412211557,0.998458676121016
89,Male,0.750193025317902,0.5576900101772273,0.9956823037199579
90,Both,0.761383227890267,0.5689407479271169,1.0
90,Female,0.7546062951457121,0.5397540965046957,1.0
90,Male,0.7708228107169096,0.564807364427728,1.0
91,Both,0.779861777758768,0.5853488482868747,1.0
91,Female,0.7737817320825044,0.5546478651370114,1.0
91,Male,0.7883650235281987,0.5805983011890351,1.0
92,Both,0.7948296268613165,0.5950685319636949,1.0
92,Female,0.7890678586297201,0.563403073761009,1.0
92,Male,0.8026922814845406,0.5903648027261053,1.0
93,Both,0.8150552994302085,0.6056959231197647,1.0
93,Female,0.8112508767370843,0.5750445664789852,1.0
93,Male,0.8200335014890469,0.5995868938000548,1.0
94,Both,0.8317632511699905,0.6117840213651002,1.0
94,Female,0.8290906138331355,0.5824035844297653,1.0
94,Male,0.8351508989131358,0.605636225442932,1.0
95,Both,0.8495906182054418,0.6161796659171266,1.0
95,Female,0.8520360974924467,0.5926104132016717,1.0
95,Male,0.8448299057267958,0.6037732640081125,1.0
96,Both,0.863358430162786,0.6264325734292369,1.0
96,Female,0.8656554912228764,0.6022008224908146,1.0
96,Male,0.8587269966636739,0.6138753144992153,1.0
97,Both,0.8771256164635785,0.6339449675145189,1.0
97,Female,0.8792713989339863,0.6100406634112457,1.0
97,Male,0.8726237930140495,0.6230566812353302,1.0
98,Both,0.8908921555154199,0.641160449352785,1.0
98,Female,0.8928814439292129,0.6168923519873482,1.0
98,Male,0.8865202202049292,0.6296716207208991,1.0
99,Both,0.9046573490143855,0.6468078737485471,1.0
99,Female,0.9064822765959112,0.6221879133881747,1.0
99,Male,0.9004160543887448,0.6353097310691211,1.0
100,Both,0.9184198725251477,0.6505101720635046,1.0
100,Female,0.9200687451206012,0.6272527976694185,1.0
100,Male,0.9143109207888648,0.6408352633215362,1.0
