age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
51,Both,0.07054007656442157,0.05587500485149406,0.08758432796590891,0.05587500485149406,0.08758432796590891,0.05422806971901446,0.09026683010597218,0.05309324692915652,0.09169866685114893,0.052444892727432586,0.09281729520443006
52,Both,0.07414974299478502,0.05942893238785473,0.09130640620284296,0.05942893238785473,0.09130640620284296,0.05752274933830583,0.09411673001833384,0.05653735639815908,0.09556448282712146,0.055857313451280095,0.0964675490177681
53,Both,0.07784844838070223,0.06236640593429825,0.09568719792716474,0.06236640593429825,0.09568719792716474,0.06045577089781786,0.09861667590204483,0.05944092664662093,0.10001954692639213,0.058671005446235894,0.10096575479821143
54,Both,0.08170986758195467,0.06505265218577846,0.10064212338729056,0.06505265218577846,0.10064212338729056,0.06298955187003687,0.10387800805853561,0.062015106729356465,0.10544157083372115,0.06126061997288732,0.1065609685648855
55,Both,0.08553184234416683,0.06734588559481343,0.10628403654875644,0.06734588559481343,0.10628403654875644,0.0650746568913103,0.10971134797601644,0.064060628565837,0.11145171772836021,0.06322703780268245,0.1124436844813343
56,Both,0.08990793863470632,0.07242137310498957,0.11004744534688454,0.07242137310498957,0.11004744534688454,0.07005225028208761,0.11337331509244288,0.06893676668041082,0.11534213239122902,0.06808812763328463,0.11636012507037459
57,Both,0.09401478637589014,0.07654304704889989,0.1143566625718992,0.07654304704889989,0.1143566625718992,0.07385751839983778,0.11771090519573013,0.07262850293804937,0.11973885309585092,0.07192670128717514,0.1211580322311489
58,Both,0.09795740772978595,0.07954182715234748,0.11935298692204971,0.07954182715234748,0.11935298692204971,0.07681648547413503,0.12298368305034142,0.07551509789124759,0.12493614283522589,0.07458780560771677,0.12704109434088642
59,Both,0.10177651296858688,0.08177102367543246,0.12486724243494847,0.08177102367543246,0.12486724243494847,0.07910762759400057,0.12912449955755398,0.07771512280142162,0.1313905455713645,0.07664475450339042,0.13334142098244642
60,Both,0.10569679435243215,0.08379186374183797,0.131390337925802,0.08379186374183797,0.131390337925802,0.08099835363476,0.13605794616920047,0.07944261575163214,0.13830941068686317,0.07834239375322388,0.14025884916387016
61,Both,0.11059664331006243,0.08970782804882976,0.13544691698250474,0.08970782804882976,0.13544691698250474,0.08669631249165873,0.13987454355433598,0.08538513646873586,0.14234924333481064,0.08447483591083638,0.14406971281947473
62,Both,0.11532035698647437,0.09456942811013375,0.13988945431150765,0.09456942811013375,0.13988945431150765,0.09194473990061053,0.1444497383407317,0.09048845960952633,0.14667202555415892,0.08956675991147757,0.1490004268059393
63,Both,0.12061743430625747,0.09918086335076294,0.1460934287970891,0.09918086335076294,0.1460934287970891,0.09660719313405511,0.15052817079967493,0.09528648059755174,0.15324636777775053,0.09414556108233155,0.15490392483351187
64,Both,0.12588851633919032,0.1030897865780427,0.1532716351235485,0.1030897865780427,0.1532716351235485,0.10043350960656805,0.15774250726478822,0.09869390381282779,0.160285879338051,0.09783970029544513,0.1621802967031584
65,Both,0.1312077364805443,0.10634851525529251,0.1613106536284155,0.10634851525529251,0.1613106536284155,0.10333243563778544,0.16605644295122754,0.10182698701830227,0.16865837389249208,0.10075185652748482,0.17043433077411693
66,Both,0.13667262816472686,0.11236700643750551,0.16558416152932948,0.11236700643750551,0.16558416152932948,0.10963830926044074,0.17060529929965906,0.10832066592770018,0.17285877306170871,0.10722373248682766,0.17440429835702942
67,Both,0.14183096924418787,0.11743589620986057,0.170641090999101,0.11743589620986057,0.170641090999101,0.11452625434296619,0.17511850425614547,0.11305088399042412,0.17776805287463737,0.11217472843539286,0.17970145365754361
68,Both,0.14702662816371453,0.12147185653642006,0.17677353303901885,0.12147185653642006,0.17677353303901885,0.11864927171427934,0.18181851839941307,0.11710987835528677,0.1841649218165738,0.11598590227004839,0.1856111383200597
69,Both,0.15183408035655918,0.12435765173155044,0.18379922710087884,0.12435765173155044,0.18379922710087884,0.1212567390388311,0.18905988277024105,0.11986250861536579,0.1917824640378965,0.11879167526409815,0.19398627873349533
70,Both,0.15704731771879415,0.12714440690711795,0.19215219319971347,0.12714440690711795,0.19215219319971347,0.12374819290967509,0.1977531683959393,0.12240334616178465,0.20058062331784474,0.12128698169035813,0.20294482711817682
71,Both,0.16346050451326546,0.13433298132278274,0.19784871670557547,0.13433298132278274,0.19784871670557547,0.13103579610517227,0.20335907011966037,0.1294019207649165,0.20611329618554186,0.1284577618920257,0.2078888187701455
72,Both,0.16941673866165527,0.14019101768009318,0.20385770834311906,0.14019101768009318,0.20385770834311906,0.1365504423441491,0.209482596782843,0.13472364328544612,0.2121948505569103,0.13368371658668743,0.21398813132241062
73,Both,0.17566570589251562,0.14509484302855516,0.21156195344796447,0.14509484302855516,0.21156195344796447,0.14090770593355015,0.21755776882126915,0.13905856471878386,0.220448750759021,0.13789012653292934,0.22250214054457806
74,Both,0.1818625682856045,0.14936876094776436,0.22009224453555165,0.14936876094776436,0.22009224453555165,0.14497662622413524,0.22623042092812662,0.14266141687813386,0.22977536709623847,0.14144016936342105,0.2319254152942344
75,Both,0.18645690679721869,0.1512998344264872,0.2281604365825149,0.1512998344264872,0.2281604365825149,0.14708849521767084,0.23476664772932168,0.14440835173750124,0.2385393204909402,0.14271762277116914,0.24129249264898886
76,Both,0.19395150098011427,0.15954621388126827,0.2346456271932484,0.15954621388126827,0.2346456271932484,0.15469204224399008,0.24120871577743586,0.1526418383530057,0.2453473845688786,0.1513607832928831,0.24809608670756836
77,Both,0.20014798753766208,0.1649167663102977,0.24107755986377918,0.1649167663102977,0.24107755986377918,0.1601800668399203,0.24803046494309,0.15789246917983046,0.252374345494397,0.1560989824224743,0.25509490333504325
78,Both,0.20665062164105996,0.16967200066734736,0.2496586465667215,0.16967200066734736,0.2496586465667215,0.16470619144957988,0.25691470939547983,0.16238476312950179,0.261085865520262,0.16097167535250498,0.26395686659616074
79,Both,0.20986723886245737,0.17090307348900718,0.255862979372219,0.17090307348900718,0.255862979372219,0.16592258767084048,0.2636027078318362,0.16360934877513483,0.26775013552706306,0.16200988332758548,0.27072469731240345
80,Both,0.21469223196690962,0.17282748722242314,0.26491386180869453,0.17282748722242314,0.26491386180869453,0.16758917270162269,0.2738627587172737,0.1651937485530347,0.2777186535195385,0.16325188013039663,0.280999608469523
81,Both,0.2212125330863554,0.18037386329545801,0.2701607559711817,0.18037386329545801,0.2701607559711817,0.17543026727102912,0.2784701223416735,0.17280724016855273,0.28233273867022834,0.17089371645948068,0.28570680381408037
82,Both,0.22666352712511456,0.1855293741571733,0.2754428772166399,0.1855293741571733,0.2754428772166399,0.18065913099105607,0.28329818041055793,0.17774291625866986,0.28766685524627267,0.1757547718782466,0.29015096906983073
83,Both,0.23373146214488685,0.19099652052732158,0.28330401747004713,0.19099652052732158,0.28330401747004713,0.1856107709831516,0.2917887770353555,0.18248481726609436,0.2959734362669977,0.1804048923410588,0.2994201947281125
84,Both,0.2405414933361268,0.19529816566612862,0.2922999960851513,0.19529816566612862,0.2922999960851513,0.18950281218385634,0.30145227540942404,0.1861940945240275,0.3071318009968153,0.183979320625557,0.3113976511563104
85,Both,0.2487385436327672,0.2001951892803637,0.3047133846793911,0.2001951892803637,0.3047133846793911,0.19346552656840624,0.3148313950000928,0.19034953163520577,0.3217326414013297,0.1878976294244387,0.325864723927564
