age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
63,Both,0.007173716677201003,0.005638287784882462,0.008991201081562658,0.005638287784882462,0.008991201081562658,0.0054271316158826174,0.009292654187756667,0.005321879254223255,0.009461104776881463,0.005263142449217987,0.00958413972324289
64,Both,0.007835420666371277,0.006120461170089911,0.009870198434678002,0.006120461170089911,0.009870198434678002,0.005883592668575224,0.010238321499435587,0.005778816851587396,0.010431282759114386,0.005707068423876158,0.010554408179668906
65,Both,0.008491516654400748,0.006555506198530327,0.010792815153793668,0.006555506198530327,0.010792815153793668,0.006324562151482375,0.01122813526555484,0.006184105709158142,0.011438328375097326,0.006097756181027332,0.01157853556211802
66,Both,0.00954903611009161,0.007550095271472609,0.011847172264419344,0.007550095271472609,0.011847172264419344,0.0072992774706243995,0.012275228827115958,0.007143089363003501,0.012497325777951438,0.0070712504512303286,0.01268191418165061
67,Both,0.010588300043993755,0.008407551534340989,0.013053223470153568,0.008407551534340989,0.013053223470153568,0.008127857786322499,0.013482917361130291,0.00799798339764658,0.013723176278042913,0.007902520141680892,0.013907296304297056
68,Both,0.0115766484304711,0.009163415939070276,0.014343888994537722,0.009163415939070276,0.014343888994537722,0.008851557226630126,0.014808074899260368,0.008669581106507054,0.015055004803022715,0.008578183430912534,0.015216902639151417
69,Both,0.01253241088466718,0.009844235673469193,0.015650128631052303,0.009844235673469193,0.015650128631052303,0.009490693766566081,0.016190252270669635,0.009288261187282454,0.016474320610673682,0.009152825502799392,0.01669089196333102
70,Both,0.013525475291430205,0.01049421154360057,0.017061608361866324,0.01049421154360057,0.017061608361866324,0.010095664764973526,0.017645110062491864,0.009914135701420634,0.018000715438206378,0.00975868362634856,0.018223569066276465
71,Both,0.014995203593948271,0.011959653043799406,0.018557676122179286,0.011959653043799406,0.018557676122179286,0.011539310677445073,0.019168268152893436,0.011311481704505837,0.019487403621600955,0.011157511499890554,0.01970387105366703
72,Both,0.016768624151487232,0.013440231835982334,0.020682785552614758,0.013440231835982334,0.020682785552614758,0.013009438416541537,0.021352682447755917,0.012789834904079159,0.021705548311516037,0.012638824559032837,0.0219681317981948
73,Both,0.01810884478686806,0.014484838875876222,0.022429205999429862,0.014484838875876222,0.022429205999429862,0.014062746234635288,0.023155284936952236,0.013829858954422172,0.02352225402763336,0.013642358502634656,0.023824923825136277
74,Both,0.019785036958511658,0.01568381282113994,0.024713838036936376,0.01568381282113994,0.024713838036936376,0.015206107570957578,0.02559918351474324,0.014892726095620585,0.025979116005037058,0.014699448467920236,0.02633859991204708
75,Both,0.021664272906186763,0.016935513820954092,0.027416124473536675,0.016935513820954092,0.027416124473536675,0.016357492642597317,0.028432984741598985,0.015970783047757005,0.028934509317499416,0.015722193502165856,0.029198444127900413
76,Both,0.024174427964413072,0.019312159682178188,0.0300306398325491,0.019312159682178188,0.0300306398325491,0.018722135580613117,0.03097855084010778,0.01837521434947955,0.03145030982972219,0.018181929991173764,0.03186069605508259
