region,mean_prev
Bermuda,0.10645613721228571
Cuba,0.10027645102661538
Dominica,0.09371438880686503
Dominican Republic,0.07800803660744857
Grenada,0.08659096300349806
Guyana,0.07830602740182774
Haiti,0.06493582176055811
Jamaica,0.0855230475570002
Puerto Rico,0.11066572657946405
Saint Kitts and Nevis,0.08263398361649442
Saint Lucia,0.08722793141964796
Saint Vincent and the Grenadines,0.08919602995280826
Suriname,0.0844852351861763
Trinidad and Tobago,0.08931962096023285
United States Virgin Islands,0.10653663127633416
Colombia,0.08706356029636159
Costa Rica,0.08430602455000007
El Salvador,0.08508581358102416
Guatemala,0.07105121640659598
Honduras,0.07141271448774414
Mexico,0.08021650044274764
Nicaragua,0.07096026133078633
Panama,0.08468759944638649
Venezuela (Bolivarian Republic of),0.08266612348788097
Brazil,0.0774799117577575
Paraguay,0.07323015745150449
Afghanistan,0.05642030233711309
Algeria,0.0680429120504577
Bahrain,0.05632819969441749
Egypt,0.06559668483862141
Iran (Islamic Republic of),0.06207896647370099
Iraq,0.06230458840715165
Jordan,0.06226781622369181
Kuwait,0.051024550808717935
Lebanon,0.07609354554597786
Libya,0.0628118245012721
Morocco,0.07261742801935828
Oman,0.041874025229410354
Palestine,0.06203550663311918
Qatar,0.04040146807839959
Saudi Arabia,0.04841156382265478
Sudan,0.05984797372163693
Syrian Arab Republic,0.07697139553069894
Tunisia,0.0776735887660694
Türkiye,0.07694419651077981
United Arab Emirates,0.039996145302678913
Yemen,0.0566493148367315
Bangladesh,0.0846412883815515
Bhutan,0.07836364802890261
India,0.09541103742965103
Nepal,0.08420002709785805
Pakistan,0.07311268640488526
China,0.10491635182554779
Democratic People's Republic of Korea,0.1047030282682731
Taiwan (Province of China),0.15417274124402866
American Samoa,0.09436048017068042
Cook Islands,0.1102955497901485
Fiji,0.0847860884505945
Guam,0.10217050037136982
Kiribati,0.07510292319698854
Marshall Islands,0.07331734104498688
Micronesia (Federated States of),0.08222721940480895
Nauru,0.06229107008617323
Niue,0.10746559738884179
Northern Mariana Islands,0.10582731620520115
Palau,0.09314016855735716
Papua New Guinea,0.06951945445466202
Samoa,0.08628839074324876
Solomon Islands,0.06949107318046908
Tokelau,0.09659783003571872
Tonga,0.09133988911994098
Tuvalu,0.09113750191080594
Vanuatu,0.07872840778824067
Cambodia,0.08082080674888065
Indonesia,0.08266896526271697
Lao People's Democratic Republic,0.07546849137092893
Malaysia,0.08439402631675286
Maldives,0.06276019911490438
Mauritius,0.10368599398000773
Myanmar,0.08620480855156168
Philippines,0.08179972203616878
Seychelles,0.09088709899788555
Sri Lanka,0.09897384946536397
Thailand,0.10383769974774129
Timor-Leste,0.08686355878899084
Viet Nam,0.08605949926645416
Angola,0.06314268590987519
Central African Republic,0.06348861894540961
Congo,0.06433012598868239
Democratic Republic of the Congo,0.06455543197619079
Equatorial Guinea,0.058502170396783695
Gabon,0.0708040508089144
Burundi,0.06301489441092704
Comoros,0.07500166833162487
Djibouti,0.06113671565082637
Eritrea,0.06087299986232369
Ethiopia,0.06352737611212611
Kenya,0.06378336390747842
Madagascar,0.0631941622863325
Malawi,0.06377384885446392
Mozambique,0.06518052111386656
Rwanda,0.0649992341862281
Somalia,0.05971553122765456
South Sudan,0.06707497527618575
Uganda,0.06329158630832052
United Republic of Tanzania,0.0669080307378804
Zambia,0.060484631297474695
Botswana,0.06401872221058784
Eswatini,0.06552096921794379
Lesotho,0.06899427031999318
Namibia,0.07057058343421076
South Africa,0.07485963127161162
Zimbabwe,0.06535705612960517
Benin,0.06479710487430528
Burkina Faso,0.06561644492334626
Cabo Verde,0.0746270589078572
Cameroon,0.06299217826621714
Chad,0.06575376029210928
Côte d'Ivoire,0.060511827710126795
Gambia,0.06525723833164997
Ghana,0.06624858484241074
Guinea,0.06844959235104037
Guinea-Bissau,0.06018399883940125
Liberia,0.06253795811690105
Mali,0.06834272965649528
Mauritania,0.07216952767797626
Niger,0.06698395695932723
Nigeria,0.06592511399446853
Sao Tome and Principe,0.06673350784055464
Senegal,0.0703927548758455
Sierra Leone,0.06497812477634636
Togo,0.06479360308324474
