location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob
Netherlands,89,Intermediate,5,Male,1,1990,65,74,1382.0,0.0723589001447178,0.006969184275122241,0.794612123,0.4341561
Netherlands,89,Intermediate,5,Female,2,1990,65,74,1865.0,0.036997319034852545,0.004370785134412222,0.794612123,0.383810069
Netherlands,89,Intermediate,5,Male,1,1990,75,84,796.0,0.10301507537688442,0.010774234668454586,0.794612123,0.4341561
Netherlands,89,Intermediate,5,Female,2,1990,75,84,1505.0,0.08704318936877077,0.007266483040846676,0.794612123,0.383810069
Netherlands,89,Intermediate,5,Male,1,1990,85,98,191.0,0.20418848167539266,0.029167825064390064,0.794612123,0.4341561
Netherlands,89,Intermediate,5,Female,2,1990,85,98,815.0,0.1374233128834356,0.012060082000737458,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,55,64,1418.0,0.0007052186177715092,0.0007049699072655301,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,55,64,1802.0,0.0011098779134295228,0.0007843665606518515,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,65,74,1382.0,0.002894356005788712,0.001445082161095286,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,65,74,1865.0,0.00482573726541555,0.0016046931045920663,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,75,84,796.0,0.02386934673366834,0.0054102546661858025,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,75,84,1505.0,0.023920265780730896,0.0039387407692875525,0.794612123,0.383810069
Netherlands,89,Late-wet,6,Male,1,1990,85,98,191.0,0.06806282722513089,0.018223493089800157,0.794612123,0.4341561
Netherlands,89,Late-wet,6,Female,2,1990,85,98,815.0,0.07484662576687116,0.009217521883157359,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,55,64,1418.0,0.0021156558533145277,0.001220181682472075,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,55,64,1802.0,0.0,0.0,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,65,74,1382.0,0.005788712011577424,0.0020406865180964706,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,65,74,1865.0,0.0021447721179624667,0.0010712354298312416,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,75,84,796.0,0.011306532663316583,0.0037474773730296583,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,75,84,1505.0,0.013953488372093023,0.0030235826733012667,0.794612123,0.383810069
Netherlands,89,Late-dry,7,Male,1,1990,85,98,191.0,0.02617801047120419,0.011552910886104452,0.794612123,0.4341561
Netherlands,89,Late-dry,7,Female,2,1990,85,98,815.0,0.04049079754601227,0.006904368036819366,0.794612123,0.383810069
Finland,79,Late-wet,6,Male,1,1991,70,95,173.0,0.05202312138728324,0.016883948704720278,0.758410687,0.340418945
Finland,79,Late-wet,6,Female,2,1991,70,95,305.0,0.029508196721311476,0.009689856627805986,0.758410687,0.262293227
Finland,79,Late-dry,7,Male,1,1991,70,95,173.0,0.06358381502890173,0.018551741967547813,0.758410687,0.340418945
Finland,79,Late-dry,7,Female,2,1991,70,95,305.0,0.03278688524590164,0.010196737729964633,0.758410687,0.262293227
Barbados,107,Early to intermediate,2,Male,1,1995,40,49,526.0,0.12547528517110265,0.01444349406753644,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,40,49,636.0,0.1792452830188679,0.015209047060069187,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,50,59,393.0,0.20610687022900764,0.020404736033678515,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,50,59,571.0,0.18563922942206654,0.016271412185294848,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,60,69,307.0,0.26058631921824105,0.02505245893218783,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,60,69,464.0,0.24568965517241378,0.019985245015972052,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,70,79,171.0,0.2573099415204678,0.03342981961169074,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,70,79,219.0,0.2100456621004566,0.02752553666406742,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,80,95,28.0,0.14285714285714285,0.06613000712661082,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,80,95,22.0,0.22727272727272727,0.08934606739851096,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,40,49,262.5,0.0038095238095238095,0.0038022606498006924,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,40,49,317.0,0.00473186119873817,0.003854396763586802,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,50,59,196.5,0.002544529262086514,0.0035939266220226243,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,50,59,285.5,0.010507880910683012,0.006034769469912745,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,60,69,152.0,0.003289473684210526,0.00464436064880062,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,60,69,232.5,0.004301075268817204,0.004291815677304121,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,70,79,88.0,0.005681818181818182,0.008012444244570543,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,70,79,112.0,0.013392857142857142,0.010861748297354017,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,80,95,15.0,0.0,0.0,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,80,95,11.0,0.0,0.0,0.676012247,0.049164157
Barbados,107,Late-wet,6,Male,1,1995,40,95,712.0,0.002106741573033708,0.0017183343830394645,0.676012247,0.165614195
Barbados,107,Late-wet,6,Female,2,1995,40,95,956.0,0.007322175732217573,0.0027573715340791297,0.676012247,0.049164157
Barbados,107,Late-dry,7,Male,1,1995,40,95,714.0,0.0014005602240896359,0.00139957909596636,0.676012247,0.165614195
Barbados,107,Late-dry,7,Female,2,1995,40,95,958.0,0.0,0.0,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,40,49,526.0,0.12547528517110265,0.01444349406753644,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,40,49,636.0,0.1792452830188679,0.015209047060069187,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,50,59,393.0,0.20610687022900764,0.020404736033678515,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,50,59,571.0,0.18563922942206654,0.016271412185294848,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,60,69,307.0,0.26058631921824105,0.02505245893218783,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,60,69,464.0,0.24568965517241378,0.019985245015972052,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,70,79,171.0,0.2573099415204678,0.03342981961169074,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,70,79,219.0,0.2100456621004566,0.02752553666406742,0.676012247,0.049164157
Barbados,107,Early to intermediate,2,Male,1,1995,80,95,28.0,0.14285714285714285,0.06613000712661082,0.676012247,0.165614195
Barbados,107,Early to intermediate,2,Female,2,1995,80,95,22.0,0.22727272727272727,0.08934606739851096,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,40,49,262.5,0.0038095238095238095,0.0038022606498006924,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,40,49,317.0,0.00473186119873817,0.003854396763586802,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,50,59,196.5,0.002544529262086514,0.0035939266220226243,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,50,59,285.5,0.010507880910683012,0.006034769469912745,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,60,69,152.0,0.003289473684210526,0.00464436064880062,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,60,69,232.5,0.004301075268817204,0.004291815677304121,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,70,79,88.0,0.005681818181818182,0.008012444244570543,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,70,79,112.0,0.013392857142857142,0.010861748297354017,0.676012247,0.049164157
Barbados,107,Late,3,Male,1,1995,80,95,15.0,0.0,0.0,0.676012247,0.165614195
Barbados,107,Late,3,Female,2,1995,80,95,11.0,0.0,0.0,0.676012247,0.049164157
Barbados,107,Late-wet,6,Male,1,1995,40,95,712.0,0.002106741573033708,0.0017183343830394645,0.676012247,0.165614195
Barbados,107,Late-wet,6,Female,2,1995,40,95,956.0,0.007322175732217573,0.0027573715340791297,0.676012247,0.049164157
Barbados,107,Late-dry,7,Male,1,1995,40,95,714.0,0.0014005602240896359,0.00139957909596636,0.676012247,0.165614195
Barbados,107,Late-dry,7,Female,2,1995,40,95,958.0,0.0,0.0,0.676012247,0.049164157
Italy,86,Late,3,Male,1,1991,60,89,81.0,0.006172839506172839,0.008702728079869356,0.711457349,0.386910455
Italy,86,Late,3,Female,2,1991,60,89,103.0,0.014563106796116505,0.01180382639810153,0.711457349,0.258643039
Italy,86,Late-wet,6,Both,3,1991,60,74,136.0,0.0,0.0,0.711457349,0.321166262
Italy,86,Late-wet,6,Both,3,1991,75,89,48.0,0.020833333333333332,0.020615177234440826,0.711457349,0.321166262
Italy,86,Late-dry,7,Both,3,1991,60,74,136.0,0.0,0.0,0.711457349,0.321166262
Italy,86,Late-dry,7,Both,3,1991,75,89,48.0,0.020833333333333332,0.020615177234440826,0.711457349,0.321166262
Italy,86,Late,3,Male,1,1991,60,89,81.0,0.006172839506172839,0.008702728079869356,0.711457349,0.386910455
Italy,86,Late,3,Female,2,1991,60,89,103.0,0.014563106796116505,0.01180382639810153,0.711457349,0.258643039
Italy,86,Late-wet,6,Both,3,1991,60,74,136.0,0.0,0.0,0.711457349,0.321166262
Italy,86,Late-wet,6,Both,3,1991,75,89,48.0,0.020833333333333332,0.020615177234440826,0.711457349,0.321166262
Italy,86,Late-dry,7,Both,3,1991,60,74,136.0,0.0,0.0,0.711457349,0.321166262
Italy,86,Late-dry,7,Both,3,1991,75,89,48.0,0.020833333333333332,0.020615177234440826,0.711457349,0.321166262
United States of America,102,Early to intermediate,2,Male,1,1993,48,54,1059.0,0.0226628895184136,0.004573322791693725,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,48,54,1578.0,0.022813688212927757,0.0037586591064144967,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,55,59,1372.0,0.03571428571428571,0.005010104622765131,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,55,59,1849.0,0.03299080584099513,0.004153778250448346,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,60,64,1294.0,0.05795981452859351,0.006495776444268527,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,60,64,1565.0,0.043450479233226834,0.0051533998881739375,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,65,72,1386.0,0.06204906204906205,0.00648001567413293,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,65,72,1429.0,0.06927921623512946,0.006717305102995466,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,48,54,776.0,0.02577319587628866,0.005688310750032196,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,48,54,1098.0,0.020036429872495445,0.004228769037051441,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,55,59,1106.0,0.039783001808318265,0.005877002915511522,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,55,59,1354.0,0.0310192023633678,0.004711547416787954,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,60,64,1103.0,0.05983680870353581,0.007141642023775066,0.773103517,0.278045694
