age,sex,mean,lower_ci,upper_ci
78,Both,0.2623688010062852,0.21928133374951045,0.3110217155423736
79,Both,0.26662322532228716,0.22157066036594303,0.31808609500101415
80,Both,0.2726123051552296,0.22450340686006867,0.3285186184267908
81,Both,0.27956806732864536,0.23287785384749043,0.3340711789077215
82,Both,0.2855823480271563,0.23826349460739465,0.3399894571240505
83,Both,0.29132708925501466,0.24255426619162676,0.3475350582403592
84,Both,0.2972607337061516,0.24612503120985207,0.35652981549920937
85,Both,0.3052849209129057,0.2507164658899112,0.36981572674703406
86,Both,0.3131393084747874,0.2589899291721914,0.37707935242809315
87,Both,0.31980278516871086,0.2650642814440705,0.38404690575262046
88,Both,0.3267829046627827,0.2702277184419621,0.3931484958897532
89,Both,0.3340081800975464,0.27458808817188674,0.4049113501049662
90,Both,0.3412940953428034,0.2783999187529543,0.41809255619150226
91,Both,0.3478999351052943,0.28459930931736926,0.4243502433053981
92,Both,0.35326337690469695,0.2885598271080126,0.43067778073421364
93,Both,0.361076772988146,0.29338671528344706,0.44082271017827
94,Both,0.36708724711512697,0.29620880248856435,0.45011898069100004
95,Both,0.37400643964492586,0.298708120495289,0.462475935923091
96,Both,0.37896246851511145,0.30367560782928743,0.46738757850319884
97,Both,0.3839182844453727,0.3075782110384585,0.47273103749078227
98,Both,0.38887364571756894,0.31084255003454825,0.4785283497397282
99,Both,0.3938280298421027,0.31370332227816866,0.48590191216597345
100,Both,0.39878040026605244,0.31606211377380844,0.4939855321544639
0,Male,0.0,0.0,0.0
1,Male,0.0,0.0,0.0
2,Male,0.0,0.0,0.0
3,Male,0.0,0.0,0.0
4,Male,0.0,0.0,0.0
5,Male,0.0,0.0,0.0
6,Male,0.0,0.0,0.0
7,Male,0.0,0.0,0.0
8,Male,0.0,0.0,0.0
9,Male,0.0,0.0,0.0
10,Male,0.0,0.0,0.0
11,Male,0.0,0.0,0.0
12,Male,0.0,0.0,0.0
13,Male,0.0,0.0,0.0
14,Male,0.0,0.0,0.0
15,Male,0.0,0.0,0.0
16,Male,0.0,0.0,0.0
17,Male,0.0,0.0,0.0
18,Male,0.0,0.0,0.0
19,Male,0.0,0.0,0.0
20,Male,0.0,0.0,0.0
21,Male,0.0,0.0,0.0
22,Male,0.0,0.0,0.0
23,Male,0.0,0.0,0.0
24,Male,0.0,0.0,0.0
25,Male,0.0,0.0,0.0
26,Male,0.0,0.0,0.0
27,Male,0.0,0.0,0.0
28,Male,0.0,0.0,0.0
29,Male,0.0,0.0,0.0
30,Male,2.978018750343813e-07,4.3175288118992916e-14,1.5348200510045692e-06
31,Male,0.005189290066851749,0.003987323170263585,0.006624432600237121
32,Male,0.010390930473050232,0.00798798681642356,0.013259790705543048
33,Male,0.01558638535138422,0.011985576566163822,0.019885275257178314
34,Male,0.020777608377393845,0.015978357548859432,0.02650826733588785
35,Male,0.02597622601682472,0.019972571247897055,0.03313871595431131
36,Male,0.029272793083517296,0.02283614425038336,0.03694267852524142
37,Male,0.032560965839592816,0.02536416643071036,0.04117783296040313
38,Male,0.03587353500957297,0.02767131347383009,0.04571438113538508
39,Male,0.039213265537176745,0.02987987568386406,0.05050347494120744
40,Male,0.04260638455990803,0.03201735690216456,0.05554718086443997
41,Male,0.047152788865217066,0.03629019370411363,0.060101458630784914
42,Male,0.051664180067035284,0.040107214967266276,0.0654545539237751
43,Male,0.056188453529706514,0.043503398808338575,0.07125986578527564
44,Male,0.06076017812637983,0.046698254887574765,0.07740703251986607
45,Male,0.06540540754227975,0.049777985033647734,0.08407469487451197
46,Male,0.0705120304550036,0.05503473824921908,0.08881371079392414
47,Male,0.07563395523641678,0.059562271037503535,0.09440773212099318
48,Male,0.08086468413255553,0.06362786869820572,0.10101750106926652
49,Male,0.08609761294092605,0.06734235667795128,0.1080453703976635
50,Male,0.09134959870585826,0.07067289393485113,0.11570431489138822
51,Male,0.09707512068891844,0.07718714655691963,0.12040460359281553
52,Male,0.10265644845286086,0.0828826912949318,0.12587838132922838
53,Male,0.10832997070078736,0.08774718440125141,0.13237888405506387
54,Male,0.11412813752406416,0.09209036245958105,0.14003863863252486
55,Male,0.12006487741845377,0.09605916140097669,0.14861366547594274
56,Male,0.1260385534358385,0.10281287499010154,0.15333237736973332
57,Male,0.13181554486462913,0.10827505476414463,0.15937295918309163
58,Male,0.1375062155516894,0.11265338896300021,0.16637125165346728
59,Male,0.14304133165030122,0.11604145132219952,0.17442541419619298
60,Male,0.14862363219596222,0.1189460505146382,0.1835439558405901
61,Male,0.15451332548100943,0.12620689106491367,0.18769824779353766
62,Male,0.16016703367127938,0.13199645171288535,0.1928005560203772
63,Male,0.1664708641986747,0.1375530725404355,0.19997072634280064
64,Male,0.1728269747544311,0.14228115762307306,0.20850327859807866
65,Male,0.1791105834886405,0.14622324808511247,0.21823663808424673
66,Male,0.18521453284954956,0.1534561014515225,0.2228270115164809
67,Male,0.19076635974749948,0.15868308054026947,0.22807204371719175
68,Male,0.1962313129413199,0.1627711603780788,0.23422100745854865
69,Male,0.20165504045662583,0.16601772984826807,0.24158433014111463
70,Male,0.20725831669170083,0.16902755364622335,0.25076892967394177
71,Male,0.2135387774676486,0.17601023520121467,0.25608500043547844
72,Male,0.21993753833548738,0.1822789141995181,0.26237495644150177
73,Male,0.2259056760559018,0.18666545882307065,0.26987233941114613
74,Male,0.23259328263069026,0.19095563038997712,0.27946807931885886
75,Male,0.23786990084646012,0.19320127976909032,0.2889084515404708
76,Male,0.24493742449655828,0.20125258316650196,0.2949859337955076
77,Male,0.2507291436632435,0.2069155482050847,0.3010778983849153
78,Male,0.25776724122836625,0.21295255695322418,0.30988084810657857
79,Male,0.26263606514745286,0.2159440615057538,0.317045939459824
80,Male,0.26868754491035435,0.2190804033703164,0.32786402718490415
81,Male,0.2757488625449536,0.22688667643422672,0.33360738919923194
82,Male,0.281881320040967,0.2324032046372982,0.33922707202118996
83,Male,0.2873217999610473,0.2365690461351714,0.3460820756183573
84,Male,0.29292822652616757,0.23977508159613997,0.35471133705170727
85,Male,0.30015673983005836,0.24394878796321534,0.3662047400065816
86,Male,0.30710774937813895,0.2512319971580996,0.37255172342044196
87,Male,0.3131802326423784,0.25675340730193924,0.3786962539313465
88,Male,0.31948123316234345,0.26128728666301115,0.38684081342486903
89,Male,0.32590640869941334,0.2649512838724114,0.39723297209646585
90,Male,0.33264790853270615,0.26835839104977016,0.4089229516056785
91,Male,0.33860502786237173,0.27420248903626954,0.41393272070640447
92,Male,0.3434377286084013,0.2778662903791503,0.4190260973822414
93,Male,0.3497719915478048,0.2818496665014602,0.42786154965610246
94,Male,0.3549112133682494,0.2844557377021925,0.43662340678428335
95,Male,0.35896365357216153,0.28438685044645723,0.44595080040556645
96,Male,0.36370644205465325,0.2894724956219656,0.45068957323378595
97,Male,0.3684492037379139,0.2931674225141726,0.4551876804879719
98,Male,0.3731919270853034,0.29645471945619345,0.46088151679748923
99,Male,0.37793445272691983,0.29930097554681084,0.46776945557371297
100,Male,0.38267656165409475,0.3019933719201024,0.4753692200946956
0,Female,0.0,0.0,0.0
1,Female,0.0,0.0,0.0
2,Female,0.0,0.0,0.0
3,Female,0.0,0.0,0.0
4,Female,0.0,0.0,0.0
5,Female,0.0,0.0,0.0
6,Female,0.0,0.0,0.0
7,Female,0.0,0.0,0.0
8,Female,0.0,0.0,0.0
9,Female,0.0,0.0,0.0
10,Female,0.0,0.0,0.0
11,Female,0.0,0.0,0.0
12,Female,0.0,0.0,0.0
13,Female,0.0,0.0,0.0
14,Female,0.0,0.0,0.0
15,Female,0.0,0.0,0.0
16,Female,0.0,0.0,0.0
17,Female,0.0,0.0,0.0
18,Female,0.0,0.0,0.0
19,Female,0.0,0.0,0.0
20,Female,0.0,0.0,0.0
21,Female,0.0,0.0,0.0
22,Female,0.0,0.0,0.0
23,Female,0.0,0.0,0.0
24,Female,0.0,0.0,0.0
25,Female,0.0,0.0,0.0
26,Female,0.0,0.0,0.0
27,Female,0.0,0.0,0.0
28,Female,0.0,0.0,0.0
29,Female,0.0,0.0,0.0
30,Female,3.118274802273695e-07,4.49706692108836e-14,1.608699359480621e-06
31,Female,0.005423021822381347,0.004093214050333965,0.007021954008185773
32,Female,0.01084256293304346,0.008189280430830092,0.014036324599323174
33,Female,0.01625435694610573,0.012282681377786582,0.021034528820101383
34,Female,0.02166848900725503,0.01637717471321405,0.02803621851875234
35,Female,0.027108417753875458,0.020495571776777827,0.035068146293755376
36,Female,0.03059156998733251,0.023414094850132836,0.03911435953290756
37,Female,0.03408451081114791,0.02612177371118213,0.04358824392589774
38,Female,0.037618061285864146,0.028615425530135918,0.04844175475857852
39,Female,0.04116021615996737,0.030965935912962667,0.053612763748353325
40,Female,0.0447111670919288,0.03321134121332839,0.05891839649570842
41,Female,0.04944653196888683,0.03767978358238579,0.06374770183564621
42,Female,0.05415358297197043,0.04157069222234122,0.0692843093642785
43,Female,0.058882688835377346,0.04507464514222472,0.07552472633291318
44,Female,0.0636119552208112,0.0483988195678658,0.0820158906049036
45,Female,0.06835822358158315,0.0514405258679527,0.08881039998967097
46,Female,0.07352210191330522,0.05654691223616785,0.09362957633311571
47,Female,0.0786601722791212,0.060981636204720205,0.09929651778899394
48,Female,0.08393287918402173,0.06501091320296103,0.10590700450749858
49,Female,0.08926767011105867,0.06861125068541922,0.1132261971507876
50,Female,0.09467117742135107,0.07182399279273367,0.12142275037897768
51,Female,0.10051291897069374,0.07843777775991542,0.12632806006870417
52,Female,0.10615963858096811,0.08408210387031385,0.13195204109598865
53,Female,0.11189777466204122,0.08926794283265416,0.13857654966016048
54,Female,0.11778384308700898,0.09373120512021342,0.14620206715469425
55,Female,0.12382426877390208,0.09779208403862638,0.15501324185337936
56,Female,0.12997758900479156,0.10455460081266668,0.16004933123617063
57,Female,0.13597074749029384,0.11009339061063816,0.1660466583825815
58,Female,0.14197572076461404,0.11480592714928853,0.17365914668720606
59,Female,0.14808052428873228,0.1187661974310359,0.18245043478408793
60,Female,0.15423905247086053,0.12205369985287909,0.1922569721997558
61,Female,0.16054504736388064,0.12938541187721064,0.19734684443129163
62,Female,0.16639118163418898,0.13535556982437696,0.2026494493516324
63,Female,0.17270060699465967,0.14056815357708533,0.21016401436350168
64,Female,0.17875581443671448,0.14468511051013008,0.218817788437302
65,Female,0.18474144011370439,0.14822259382524539,0.22849394484304825
66,Female,0.19067983769594254,0.1548274636993833,0.23358362547323067
67,Female,0.1963027003815806,0.1599726078275708,0.2389901258176829
68,Female,0.20215266918328897,0.16439324397004998,0.2459672482220817
69,Female,0.20784839026848007,0.16781031488491435,0.25459357641261815
70,Female,0.21364260054931727,0.1706441604800022,0.2638960271494986
71,Female,0.22077680173735817,0.17837591647569784,0.2701148903619805
72,Female,0.22645014514485845,0.1834230267625091,0.27595933462213773
73,Female,0.23419578442961567,0.18971547935568328,0.28510468951813706
74,Female,0.24074406639972176,0.19382054589571235,0.2945096652104568
75,Female,0.24612991542626542,0.19630556575733155,0.3037103599930044
76,Female,0.2546387800215662,0.20548386586838538,0.31125291000706146
77,Female,0.2608615756424537,0.21093690515307048,0.3175122335996461
78,Female,0.2679257897304992,0.21614265719826992,0.32639561950122054
79,Female,0.2715514403623789,0.21756573180839928,0.33256233166365856
80,Female,0.27750449435352126,0.22062923056565276,0.34290161706398925
81,Female,0.28441794522109126,0.22785582453056152,0.3490800547854823
82,Female,0.2904593424147564,0.2333766308298879,0.3558615443609504
83,Female,0.2963815432617333,0.23776403203091034,0.36389767510068477
84,Female,0.30257845422375285,0.242011076138046,0.37311145025588804
85,Female,0.3112533871321191,0.24709066496224646,0.3874044373433043
86,Female,0.31980957116623654,0.25573860740010895,0.39607476808921027
87,Female,0.3268610761429594,0.2617351467285024,0.40457242684823536
88,Female,0.33440645876133424,0.2669320728339745,0.41490719206760673
89,Female,0.3422956022396082,0.27182588563914784,0.4278225988591524
90,Female,0.35012803869343556,0.27607539105358486,0.4426572893055583
91,Female,0.35729008496635956,0.2826091834763078,0.449323088670139
92,Female,0.3630612443363131,0.2862096836763062,0.4562330889716823
93,Female,0.37196575243191593,0.29195074925811615,0.4689046078330443
94,Female,0.3786715371280101,0.29544285454200964,0.478978415524233
95,Female,0.38754139729563214,0.30011322356232945,0.49428626127676284
96,Female,0.392685714047354,0.3043333084570885,0.4991549158698481
97,Female,0.397827383587714,0.3075264205852829,0.5046453737212948
98,Female,0.4029646909112219,0.31059121218970204,0.5109063173560644
99,Female,0.40809514729060137,0.3132569802324821,0.5180343268215167
100,Female,0.41321396348516076,0.31581558753094613,0.5264197161746795
