age,sex,mean,lower_ci,upper_ci
59,Male,0.006467777985176907,0.004718830303749962,0.008720827492119752
60,Male,0.006716816367366952,0.0048640838740378065,0.009098059157809412
61,Male,0.007518998630434127,0.0055836349334171895,0.00999492965813645
62,Male,0.00835280954285717,0.006283136238052219,0.010977434167112578
63,Male,0.009213566356378928,0.006974758129360653,0.012024456770147544
64,Male,0.010130987736839278,0.007686768566400677,0.013202685863079034
65,Male,0.011041363557787533,0.008364807976294584,0.014418133869018536
66,Male,0.011907742314336316,0.008997888863310264,0.015606314345109513
67,Male,0.01273019050134602,0.009574260326877462,0.016727740575829732
68,Male,0.013499762097536928,0.01009570983413048,0.017796863570967752
69,Male,0.014212366041117136,0.010583713542403212,0.01880347179427792
70,Male,0.014976142582513598,0.011092756692654537,0.019880883979934
71,Male,0.017330708402177982,0.013120008658032709,0.022571589343773794
72,Male,0.01984404904978047,0.015151189992553573,0.0256750791845291
73,Male,0.021828792623758326,0.016685125926484967,0.028201402216880642
74,Male,0.02422931962129551,0.01846422042406085,0.03140947406551024
75,Male,0.026982836305632203,0.020439751780759394,0.035162471736844475
76,Male,0.028978017186886803,0.02187408416322538,0.037858945574458056
77,Male,0.030947391707332694,0.02324507137645956,0.040581501433774175
78,Male,0.03341131481866416,0.024959086390146278,0.04401237500128216
79,Male,0.0358992228745429,0.026690503072236128,0.04747197464212965
80,Male,0.03825898159453614,0.02834472390464199,0.05069536880238312
81,Male,0.04284604278090396,0.03224139066208962,0.05617168860812197
82,Male,0.047367122042447425,0.03580924367301201,0.061910888971035145
83,Male,0.05142105613482062,0.0388891743788006,0.06713841397051233
84,Male,0.05551504655584134,0.041870058173350065,0.07276474133841516
85,Male,0.059344447579091464,0.04455336098933408,0.0781711452404241
86,Male,0.06310895322975947,0.04699840255588252,0.08364655696540564
87,Male,0.06706794153732604,0.049474036545949396,0.08943589035701861
88,Male,0.07085649875869052,0.05170610530699969,0.09510367468030183
89,Male,0.07448040114481838,0.05387512871044091,0.10065330423858593
90,Male,0.07827858514623666,0.056131863344339956,0.10636360443602068
91,Male,0.07982959067164255,0.05742936642906095,0.1080604425267509
92,Male,0.08123361087380286,0.05837692332957476,0.11011780964628526
93,Male,0.08209110964407572,0.05856187933500061,0.1119591432428431
94,Male,0.08307300399652352,0.05866368512315555,0.11434190727062303
95,Male,0.08141354466458946,0.056586248484333274,0.11404788694087697
96,Male,0.08343633648726938,0.057312001996812766,0.11801777489819341
97,Male,0.08545900296655681,0.058045232402055925,0.12230574580496734
98,Male,0.0874814667863351,0.05871616269127621,0.12678672534773247
99,Male,0.08950365546550147,0.059382403743899824,0.131425515631435
100,Male,0.09152549686958256,0.05996206393868822,0.13603742566132251
0,Female,0.0,0.0,0.0
1,Female,0.0,0.0,0.0
2,Female,0.0,0.0,0.0
3,Female,0.0,0.0,0.0
4,Female,0.0,0.0,0.0
5,Female,0.0,0.0,0.0
6,Female,0.0,0.0,0.0
7,Female,0.0,0.0,0.0
8,Female,0.0,0.0,0.0
9,Female,0.0,0.0,0.0
10,Female,0.0,0.0,0.0
11,Female,0.0,0.0,0.0
12,Female,0.0,0.0,0.0
13,Female,0.0,0.0,0.0
14,Female,0.0,0.0,0.0
15,Female,0.0,0.0,0.0
16,Female,0.0,0.0,0.0
17,Female,0.0,0.0,0.0
18,Female,0.0,0.0,0.0
19,Female,0.0,0.0,0.0
20,Female,0.0,0.0,0.0
21,Female,0.0,0.0,0.0
22,Female,0.0,0.0,0.0
23,Female,0.0,0.0,0.0
24,Female,0.0,0.0,0.0
25,Female,0.0,0.0,0.0
26,Female,0.0,0.0,0.0
27,Female,0.0,0.0,0.0
28,Female,0.0,0.0,0.0
29,Female,0.0,0.0,0.0
30,Female,9.461699411352544e-07,1.5829074129457123e-07,1.4640428575981861e-06
31,Female,8.399319931067543e-05,2.1711186022235206e-05,0.0002187194918794545
32,Female,0.00016742019744049672,4.2576854479522654e-05,0.00043753809582597764
33,Female,0.0002511270063851682,6.346262528989631e-05,0.0006571309641331832
34,Female,0.0003349877323176439,8.446920209908612e-05,0.0008773950711078636
35,Female,0.00041900567842747497,0.0001053866307797386,0.001097927627517237
36,Female,0.0005034371506167589,0.0001264246924879859,0.0013175158036169974
37,Female,0.0005879041847082764,0.00014752333441724256,0.0015401437297757144
38,Female,0.0006724395640240867,0.0001687641496836325,0.0017629456286849757
39,Female,0.0007573034098007917,0.00018999278358536052,0.001985970545758954
40,Female,0.0008426910471847294,0.0002112892878662994,0.0022094167108598615
41,Female,0.0010371782150326117,0.00045428701462093125,0.002289400884305203
42,Female,0.0012321378131500756,0.0006647025730415103,0.002378988277184377
43,Female,0.0014275956660345975,0.0008492902103387709,0.0024679656656983223
44,Female,0.0016222309489479206,0.001002144645056158,0.0025804251564242775
45,Female,0.0018151749155793351,0.0011249999797864991,0.0027372208183731967
46,Female,0.0020046603301305268,0.0012324145196524613,0.0029196258170030793
47,Female,0.0021933345576232327,0.0013185558295347437,0.0031336592759538626
48,Female,0.002380639330231231,0.0013896563962198577,0.003384784620798825
49,Female,0.0025692783892498094,0.0014545432639762915,0.0036525847589637546
50,Female,0.0027566257188747453,0.0015104802056744476,0.003950649070174382
51,Female,0.002950729007474513,0.00179160297263295,0.004153598276178981
52,Female,0.0031448947708382973,0.002050455656412545,0.004366952241876939
53,Female,0.0033410465096836376,0.0022801247051353196,0.0046070290468262194
54,Female,0.0035241869017383722,0.0024660903532329383,0.00483169758985461
55,Female,0.0037305383168304423,0.0026524487548792246,0.005104968055865077
56,Female,0.003920308761198294,0.0028075794890074063,0.005362547378961593
57,Female,0.0041256989219545384,0.002956429891813573,0.005642902814105447
58,Female,0.0043247358094644205,0.003096054549201287,0.005929516196531767
59,Female,0.004531775357777308,0.0032235924163228485,0.006234580691371779
60,Female,0.004738627936247073,0.003347711827761754,0.006539696198248689
61,Female,0.00533049127428553,0.003862955055821052,0.007243891605958108
62,Female,0.0059277169374265005,0.0043363174782129,0.007973160421652935
63,Female,0.006526781292357432,0.004787009305838806,0.008755189534085753
64,Female,0.0071287608581917135,0.005227655556100342,0.009573778898361073
65,Female,0.007727060858772999,0.005650696954436287,0.010372883290233545
66,Female,0.008311319553786898,0.006059515110684176,0.011186400958538675
67,Female,0.008886983637576387,0.0064538656728463355,0.012010474605893858
68,Female,0.009465744994121231,0.00683960028007342,0.012839505774577695
69,Female,0.010015049024359105,0.007196921836352767,0.013636534570113691
70,Female,0.010584236714876332,0.007567582488138811,0.014445495052720358
71,Female,0.012363295406198732,0.009036698309865934,0.016613987386280636
72,Female,0.01399373705024273,0.010305375893561562,0.018681949295941205
73,Female,0.015693759216100108,0.011590590100428778,0.020940138827428775
74,Female,0.017386685917020913,0.012817385258415226,0.02326819840991752
75,Female,0.019321271282107207,0.014201533142287417,0.02595835487569558
76,Female,0.020922410754215835,0.015340209574102467,0.028132219175391097
77,Female,0.022405504730113792,0.016356818495956948,0.030245619765876756
78,Female,0.024193192468945097,0.01757315425516481,0.032804276084702426
79,Female,0.02594066566505817,0.018695815406150177,0.03537677248911243
80,Female,0.027694284631858915,0.019865061463114907,0.03792975348606023
81,Female,0.031107832750070005,0.02262562405648251,0.04212535701705431
82,Female,0.034458431077985456,0.025237233939056126,0.046577807138368676
83,Female,0.03749804367535319,0.0274829370517922,0.05057133797006654
84,Female,0.040505769654878336,0.02957359977193821,0.0546862956048044
85,Female,0.043376227891222634,0.0315022742942202,0.058738130642431906
86,Female,0.046203324519819636,0.03334359080454998,0.06275269456640313
87,Female,0.049148460262942194,0.03519594223875507,0.06700539214890247
88,Female,0.05213601393633718,0.03701897427374215,0.07151332889907226
89,Female,0.05487261941851195,0.03863653498364811,0.07563317820784057
90,Female,0.05776355558223383,0.04035567385474617,0.08002730327009153
91,Female,0.058898947919574354,0.04127554643084831,0.08144127986232669
92,Female,0.05988888146984756,0.04200227793018803,0.0828444787442758
93,Female,0.06074310765241455,0.04242942421567549,0.0842683305068202
94,Female,0.0616891041586858,0.042741532090518355,0.08622469018928487
95,Female,0.06126875153136566,0.04217992235451025,0.08629118528104815
96,Female,0.06279092932536214,0.04275648077888002,0.08955413393732399
97,Female,0.06431309988584584,0.043367070693275576,0.09275503459548634
98,Female,0.06583525491258657,0.04390103840664611,0.09607953619071599
99,Female,0.06735737173123509,0.044425410681756296,0.09958468567571772
100,Female,0.06887945464061038,0.04491244941091017,0.10313426699659752
