area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
Iceland,83,Late-dry,7,Male,1,2002,85,91,192.0,0.0885416666666666,0.0205017834501857,0.813400392,0.240309421,p,,,
Iceland,83,Late-dry,7,Female,2,2002,85,91,244.0,0.0655737704918032,0.0158468400836394,0.813400392,0.232456427,p,,,
Thailand,18,Late-dry,7,Both,3,2006,50,95,5444.0,0.0006429096252755,0.0003435391641824,0.610356678,0.225473504,p,,,
United States of America,102,Late-dry,7,Both,3,2001,40,49,642664.0,0.013876613595907,0.0001459201913303,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,50,59,606342.0,0.0314706881594875,0.0002242077798715,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,60,69,312979.0,0.0701101351847887,0.0004564030731732,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,70,79,150705.0,0.18360372913971,0.0009973036864878,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,80,87,44254.0,0.3175984091833506,0.0022130076170555,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,40,49,551213.0,0.0135610009197896,0.000155783430738,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,50,59,531039.0,0.0314270703281679,0.0002394169553176,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,60,69,276062.0,0.070860893567387,0.0004883603170217,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,70,79,135578.0,0.1895735296287008,0.0010645131860497,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,80,87,41116.0,0.3256639750948535,0.0023110940096538,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,40,49,27696.0,0.0128538417099942,0.0006768597330196,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,50,59,26869.0,0.0253079757341173,0.0009581569612044,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,60,69,14659.0,0.0500034108738658,0.0018001498784507,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,70,79,7504.0,0.1040778251599147,0.0035250707222316,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,80,87,1587.0,0.180214240705734,0.0096484216545408,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,40,49,44673.0,0.0153336467217334,0.0005813594233579,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,50,59,33234.0,0.0310525365589456,0.0009514968353729,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,60,69,15150.0,0.0685148514851485,0.0020524567362551,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,70,79,5393.0,0.1470424624513258,0.0048224738246722,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,80,87,1068.0,0.2294007490636704,0.0128654825697857,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,40,49,19082.0,0.0210669741117283,0.0010395984545631,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,50,59,15200.0,0.0448026315789473,0.0016779403842396,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,60,69,7108.0,0.0858187957231288,0.0033222601911472,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,70,79,2230.0,0.1766816143497757,0.0080765735947633,0.796676793,0.246828435,p,,,
United States of America,102,Late-dry,7,Both,3,2001,80,87,483.0,0.2774327122153209,0.0203725042245991,0.796676793,0.246828435,p,,,
Norway,90,Late-dry,7,Both,3,2009,65,69,976.0,0.0030737704918032,0.0017719127003295,0.876582817,0.216588254,p,,,
Norway,90,Late-dry,7,Both,3,2009,70,74,780.0,0.0038461538461538,0.0022163035021802,0.876582817,0.216588254,p,,,
Norway,90,Late-dry,7,Both,3,2009,75,79,554.0,0.0144404332129963,0.0050684675198041,0.876582817,0.216588254,p,,,
Norway,90,Late-dry,7,Both,3,2009,80,87,321.0,0.0373831775700934,0.0105879605414047,0.876582817,0.216588254,p,,,
Germany,81,Late-dry,7,Both,3,2010,90,92,44.5,0.146067415730337,0.0529429894335572,0.87794671,0.286391016,p,,,
Germany,81,Late-dry,7,Both,3,2010,93,102,33.0,0.106060606060606,0.0536011515883366,0.87794671,0.286391016,p,,,
Germany,81,Late-dry,7,Male,1,2010,90,102,24.5,0.2040816326530612,0.0814241401969034,0.87794671,0.320266936,p,,,
Germany,81,Late-dry,7,Female,2,2010,90,102,53.0,0.0943396226415094,0.0401505793659571,0.87794671,0.252604004,p,,,
Kenya,180,Late-dry,7,Both,3,2007,50,59,754.0,0.0019893899204244,0.001622713550855,0.413736227,0.13260535,p,,,
Kenya,180,Late-dry,7,Both,3,2007,60,69,498.5,0.0040120361083249,0.0028312412702863,0.413736227,0.13260535,p,,,
Kenya,180,Late-dry,7,Both,3,2007,70,79,273.5,0.0109689213893967,0.0062980813517131,0.413736227,0.13260535,p,,,
Kenya,180,Late-dry,7,Both,3,2007,80,95,126.0,0.0198412698412698,0.0124236058757191,0.413736227,0.13260535,p,,,
Kenya,180,Late-dry,7,Male,1,2007,50,95,814.5,0.0061387354205033,0.0027368865527058,0.413736227,0.223660913,p,,,
Kenya,180,Late-dry,7,Female,2,2007,50,95,837.5,0.004776119402985,0.0023823500466965,0.413736227,0.044824001,p,,,
Republic of Korea,68,Late-dry,7,Male,1,2008,40,49,1847.0,0.0,0.0,0.833894627,0.457010102,p,,,
Republic of Korea,68,Late-dry,7,Male,1,2008,50,59,1668.0,0.001199040767386,0.0008473414018054,0.833894627,0.457010102,p,,,
Republic of Korea,68,Late-dry,7,Male,1,2008,60,69,1516.0,0.0039577836411609,0.0016125578244956,0.833894627,0.457010102,p,,,
Republic of Korea,68,Late-dry,7,Male,1,2008,70,95,1125.0,0.0088888888888888,0.0027983926407389,0.833894627,0.457010102,p,,,
Republic of Korea,68,Late-dry,7,Female,2,2008,40,49,2385.0,0.0,0.0,0.833894627,0.059257658,p,,,
Republic of Korea,68,Late-dry,7,Female,2,2008,50,59,2295.0,0.0,0.0,0.833894627,0.059257658,p,,,
Republic of Korea,68,Late-dry,7,Female,2,2008,60,69,1908.0,0.000524109014675,0.0005239716515447,0.833894627,0.059257658,p,,,
Republic of Korea,68,Late-dry,7,Female,2,2008,70,95,1608.0,0.0049751243781094,0.0017545910842253,0.833894627,0.059257658,p,,,
Germany,81,Late-dry,7,Both,3,2007,35,44,686.5,0.0,0.0,0.86914044,0.298217818,p,,,
Germany,81,Late-dry,7,Both,3,2007,45,54,612.0,0.0008169934640522,0.0011549311623461,0.86914044,0.298217818,p,,,
Germany,81,Late-dry,7,Both,3,2007,55,64,454.5,0.0,0.0,0.86914044,0.298217818,p,,,
Germany,81,Late-dry,7,Both,3,2007,65,74,417.0,0.0035971223021582,0.0029317508593744,0.86914044,0.298217818,p,,,
Germany,81,Late-dry,7,Male,1,2007,35,74,1082.0,0.0009242144177449,0.0009237872328745,0.86914044,0.335004351,p,,,
Germany,81,Late-dry,7,Female,2,2007,35,74,1088.0,0.0009191176470588,0.0009186951613334,0.86914044,0.261523961,p,,,
China,6,Late-dry,7,Both,3,2012,50,95,1002.5,0.0069825436408977,0.0026299232848109,0.657144292,0.273047781,p,,,
Ireland,84,Late-dry,7,Male,1,2009,50,64,1365.0,0.0,0.0,0.823929666,0.272176715,p,,,
Ireland,84,Late-dry,7,Male,1,2009,65,74,603.0,0.0033167495854063,0.0023414035129818,0.823929666,0.272176715,p,,,
Ireland,84,Late-dry,7,Male,1,2009,75,95,189.0,0.0158730158730158,0.0090912665924256,0.823929666,0.272176715,p,,,
Ireland,84,Late-dry,7,Female,2,2009,50,64,1735.0,0.0005763688760806,0.0005762027515993,0.823929666,0.279398523,p,,,
Ireland,84,Late-dry,7,Female,2,2009,65,74,646.0,0.001547987616099,0.0015467890192363,0.823929666,0.279398523,p,,,
Ireland,84,Late-dry,7,Female,2,2009,75,95,209.0,0.0095693779904306,0.0067341182986224,0.823929666,0.279398523,p,,,
Thailand,18,Late-dry,7,Both,3,2010,50,99,7043.0,0.0339344029532869,0.0021574690306306,0.62858944,0.226015097,p,,,
Portugal,91,Late-dry,7,Female,2,2009,55,64,642.0,0.0015576323987538,0.0015564188166461,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Female,2,2009,65,74,608.0,0.0,0.0,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Female,2,2009,75,84,366.0,0.0,0.0,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Female,2,2009,85,95,68.0,0.0147058823529411,0.0145973503725659,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Male,1,2009,55,64,477.0,0.0020964360587002,0.0020942373836761,0.702223399,0.352143424,p,,,
Portugal,91,Late-dry,7,Male,1,2009,65,74,503.0,0.0019880715705765,0.0019860943731002,0.702223399,0.352143424,p,,,
Portugal,91,Late-dry,7,Male,1,2009,75,84,260.0,0.0115384615384615,0.0066231892863074,0.702223399,0.352143424,p,,,
Portugal,91,Late-dry,7,Male,1,2009,85,95,51.0,0.0,0.0,0.702223399,0.352143424,p,,,
Portugal,91,Late-dry,7,Female,2,2009,55,64,669.0,0.0,0.0,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Female,2,2009,65,74,598.0,0.0050167224080267,0.0028891316653587,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Female,2,2009,75,84,351.0,0.0113960113960113,0.0056654453988835,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Female,2,2009,85,95,77.0,0.0779220779220779,0.0305470103314023,0.702223399,0.205934437,p,,,
Portugal,91,Late-dry,7,Male,1,2009,55,64,529.0,0.0,0.0,0.702223399,0.352143424,p,,,
Portugal,91,Late-dry,7,Male,1,2009,65,74,496.0,0.002016129032258,0.0020140956186975,0.702223399,0.352143424,p,,,
Portugal,91,Late-dry,7,Male,1,2009,75,84,258.0,0.0193798449612403,0.0085825373839993,0.702223399,0.352143424,p,,,
