original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev,data_type,upper_ci,lower_ci
244,India,163,Intermediate,5,Female,2,2006,70,79,156,0.0641025641025641,0.0196105389931747,Asian ancestry,10.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393,p,,
245,India,163,Intermediate,5,Female,2,2006,80,83,6,0.0,0.0,Asian ancestry,0.0,Intermediate,16.6936166784444,0.433321558,27.88894854801393,p,,
249,Japan,67,Intermediate,5,Both,3,2008,50,59,1830,0.1180327868852459,0.0075422687990287,Asian ancestry,216.0,Intermediate,39.91874210940812,0.840301217,30.284791876787544,p,,
250,Japan,67,Intermediate,5,Both,3,2008,60,69,2842,0.1815622800844475,0.0072309206480476,Asian ancestry,516.0,Intermediate,39.91874210940812,0.840301217,30.284791876787544,p,,
251,Japan,67,Intermediate,5,Both,3,2008,70,74,923,0.2589382448537378,0.0144186450184001,Asian ancestry,239.0,Intermediate,39.91874210940812,0.840301217,30.284791876787544,p,,
310,Japan,67,Intermediate,5,Male,1,2010,60,69,74,0.3513513513513513,0.0554957484681448,Asian ancestry,26.0,Intermediate,34.610428227183995,0.844361811,36.82829931398472,p,,
311,Japan,67,Intermediate,5,Male,1,2010,70,79,182,0.3571428571428571,0.0355175112927747,Asian ancestry,65.0,Intermediate,34.610428227183995,0.844361811,36.82829931398472,p,,
312,Japan,67,Intermediate,5,Male,1,2010,80,89,32,0.28125,0.0794804294897492,Asian ancestry,9.0,Intermediate,34.610428227183995,0.844361811,36.82829931398472,p,,
313,Japan,67,Intermediate,5,Female,2,2010,60,69,61,0.3114754098360656,0.0592934462559748,Asian ancestry,19.0,Intermediate,45.39442739891856,0.844361811,20.47164574265571,p,,
314,Japan,67,Intermediate,5,Female,2,2010,70,79,100,0.44,0.0496386945839634,Asian ancestry,44.0,Intermediate,45.39442739891856,0.844361811,20.47164574265571,p,,
315,Japan,67,Intermediate,5,Female,2,2010,80,89,31,0.4193548387096774,0.0886268651399275,Asian ancestry,13.0,Intermediate,45.39442739891856,0.844361811,20.47164574265571,p,,
353,Nepal,164,Intermediate,5,Both,3,2013,60,69,950,0.32,0.0151344848468306,Asian ancestry,304.0,Intermediate,10.35161990511118,0.380022326,33.207667631952795,p,,
354,Nepal,164,Intermediate,5,Both,3,2013,70,79,697,0.3543758967001434,0.0181178043862719,Asian ancestry,247.0,Intermediate,10.35161990511118,0.380022326,33.207667631952795,p,,
355,Nepal,164,Intermediate,5,Both,3,2013,80,95,213,0.3568075117370892,0.0328244663777125,Asian ancestry,76.0,Intermediate,10.35161990511118,0.380022326,33.207667631952795,p,,
371,China,6,Intermediate,5,Male,1,2014,50,59,615,0.2097560975609756,0.0164172463896798,Asian ancestry,129.0,Intermediate,13.31726615644089,0.668640847,50.43202946232834,p,,
372,China,6,Intermediate,5,Female,2,2014,50,59,883,0.1302378255945639,0.0113263108026165,Asian ancestry,115.0,Intermediate,22.61022529183845,0.668640847,30.99924226742662,p,,
373,China,6,Intermediate,5,Male,1,2014,60,69,919,0.2002176278563656,0.0132001636053408,Asian ancestry,184.0,Intermediate,13.31726615644089,0.668640847,50.43202946232834,p,,
374,China,6,Intermediate,5,Female,2,2014,60,69,751,0.1504660452729693,0.0130463689329278,Asian ancestry,113.0,Intermediate,22.61022529183845,0.668640847,30.99924226742662,p,,
375,China,6,Intermediate,5,Male,1,2014,70,95,864,0.2106481481481481,0.013872580946527,Asian ancestry,182.0,Intermediate,13.31726615644089,0.668640847,50.43202946232834,p,,
376,China,6,Intermediate,5,Female,2,2014,70,95,849,0.1837455830388692,0.0132912975661683,Asian ancestry,156.0,Intermediate,22.61022529183845,0.668640847,30.99924226742662,p,,
389,United States of America,102,Intermediate,5,Both,3,2010,50,95,4172,0.073346116970278,0.0040362233308533,Asian ancestry,306.0,Intermediate,22.22428187762928,0.825884658,28.241484520545068,p,,
395,China,6,Intermediate,5,Both,3,2015,50,59,694,0.0144092219020172,0.0045236484322513,Asian ancestry,10.0,Intermediate,18.2466285271056,0.671940111,40.55827307029203,p,,
396,China,6,Intermediate,5,Both,3,2015,60,69,697,0.0172166427546628,0.00492704741425,Asian ancestry,12.0,Intermediate,18.2466285271056,0.671940111,40.55827307029203,p,,
397,China,6,Intermediate,5,Both,3,2015,70,79,585,0.0478632478632478,0.0088261806907068,Asian ancestry,28.000000000000004,Intermediate,18.2466285271056,0.671940111,40.55827307029203,p,,
398,China,6,Intermediate,5,Both,3,2015,80,95,256,0.0546875,0.0142105783309133,Asian ancestry,14.0,Intermediate,18.2466285271056,0.671940111,40.55827307029203,p,,
404,Japan,67,Intermediate,5,Male,1,2012,35,49,160,0.0625,0.0191366386154935,Asian ancestry,10.0,Intermediate,34.9267763318733,0.849061489,35.10871488903572,p,,
405,Japan,67,Intermediate,5,Male,1,2012,50,59,385,0.0831168831168831,0.0140692597445837,Asian ancestry,32.0,Intermediate,34.9267763318733,0.849061489,35.10871488903572,p,,
406,Japan,67,Intermediate,5,Male,1,2012,60,69,955,0.1246073298429319,0.010687387643932,Asian ancestry,119.0,Intermediate,34.9267763318733,0.849061489,35.10871488903572,p,,
407,Japan,67,Intermediate,5,Male,1,2012,70,74,315,0.1904761904761904,0.0221248270614974,Asian ancestry,60.0,Intermediate,34.9267763318733,0.849061489,35.10871488903572,p,,
408,Japan,67,Intermediate,5,Female,2,2012,35,49,150,0.0133333333333333,0.0093650255580913,Asian ancestry,2.0,Intermediate,45.57256181827826,0.849061489,18.9433835467472,p,,
