area,location_id,stage,stage_id,sex,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob,data_type,upper_ci,lower_ci,age_weights
China,6,Early,4,Female,2,2017,50,59,2168.0,0.0857933579335793,0.006014774923018,0.684619661,0.036207942,p,,,
China,6,Early,4,Female,2,2017,60,69,1489.0,0.122229684351914,0.0084885095414026,0.684619661,0.036207942,p,,,
China,6,Early,4,Female,2,2017,70,97,518.0,0.1718146718146718,0.0165740639342643,0.684619661,0.036207942,p,,,
Spain,92,Early,4,Both,3,2013,55,65,30669.0,0.014574977990805,0.0006843305667636,0.747651982,0.330467812,p,,,
Spain,92,Early,4,Both,3,2013,66,75,18690.5,0.0355528209518204,0.0013544587920304,0.747651982,0.330467812,p,,,
Spain,92,Early,4,Both,3,2013,76,85,8748.0,0.0593850022862368,0.0025269110301124,0.747651982,0.330467812,p,,,
Spain,92,Early,4,Both,3,2013,85,95,1681.0,0.0746579417013682,0.0064106977369309,0.747651982,0.330467812,p,,,
Spain,92,Early,4,Male,1,2013,55,95,26223.5,0.0246915934181173,0.0009582971896211,0.747651982,0.367478261,p,,,
Spain,92,Early,4,Female,2,2013,55,95,33702.5,0.0329055708033528,0.0009717131869641,0.747651982,0.294382417,p,,,
Ireland,84,Early,4,Both,3,2013,55,64,1257.0,0.3070803500397772,0.0130106745434568,0.838644433,0.251642781,p,,,
Ireland,84,Early,4,Both,3,2013,65,74,1061.0,0.3091423185673893,0.0141878253366533,0.838644433,0.251642781,p,,,
Ireland,84,Early,4,Both,3,2013,75,84,325.0,0.2923076923076923,0.0252290373196895,0.838644433,0.251642781,p,,,
Ireland,84,Early,4,Both,3,2013,85,99,47.0,0.1914893617021276,0.0573939699659088,0.838644433,0.251642781,p,,,
Germany,81,Early,4,Both,3,2016,50,95,4016.0,0.1038346613545816,0.0048135822231177,0.890896369,0.268395969,p,,,
Russian Federation,62,Early,4,Both,3,2017,85,98,932.0,0.1351931330472103,0.0112002811614046,0.795669484,0.301889175,p,,,
United States of America,102,Early,4,Both,3,2018,65,95,2175803.0,0.0260000560712527,0.0001078839459088,0.855049193,0.177129998,p,,,
United States of America,102,Early,4,Both,3,2019,65,95,2445163.0,0.0269998360027531,0.0001036532949621,0.858578065,0.175695167,p,,,
