,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pred_p[78],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[79],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[80],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[81],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[82],0.04,0.01,0.03,0.05,0.0,0.0,765.97,1462.28,1.01
p_pred_p[83],0.01,0.0,0.0,0.01,0.0,0.0,5295.52,5992.1,1.0
p_pred_p[84],0.01,0.0,0.01,0.02,0.0,0.0,6146.4,7103.97,1.0
p_pred_p[85],0.03,0.01,0.02,0.04,0.0,0.0,5264.59,5878.18,1.0
p_pred_p[86],0.01,0.0,0.0,0.01,0.0,0.0,5313.03,5899.11,1.0
p_pred_p[87],0.04,0.01,0.03,0.05,0.0,0.0,811.1,1652.99,1.01
p_pred_p[88],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[89],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[90],0.01,0.0,0.01,0.02,0.0,0.0,6207.35,7297.08,1.0
p_pred_p[91],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[92],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[93],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
p_pred_p[94],0.02,0.0,0.02,0.03,0.0,0.0,5454.0,6402.8,1.0
p_pred_p[95],0.04,0.01,0.03,0.05,0.0,0.0,768.94,1500.19,1.01
