,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_age_p[72],0.02,0.01,0.01,0.03,0.0,0.0,1561.52,2003.48,1.0
mu_age_p[73],0.02,0.01,0.01,0.03,0.0,0.0,1629.12,2221.93,1.0
mu_age_p[74],0.02,0.01,0.01,0.03,0.0,0.0,1708.56,2601.05,1.0
mu_age_p[75],0.02,0.01,0.01,0.03,0.0,0.0,1775.74,2631.47,1.0
mu_age_p[76],0.02,0.01,0.01,0.03,0.0,0.0,1804.99,2662.69,1.0
mu_age_p[77],0.01,0.01,0.01,0.02,0.0,0.0,1793.97,2651.95,1.0
mu_age_p[78],0.01,0.01,0.0,0.02,0.0,0.0,1761.18,2724.9,1.0
mu_age_p[79],0.01,0.01,0.0,0.02,0.0,0.0,1709.99,2573.51,1.0
mu_age_p[80],0.01,0.01,0.0,0.02,0.0,0.0,1485.45,767.52,1.01
mu_age_p[81],0.01,0.01,0.0,0.02,0.0,0.0,1456.17,765.04,1.01
mu_age_p[82],0.01,0.01,0.0,0.02,0.0,0.0,1421.2,760.13,1.01
mu_age_p[83],0.01,0.01,0.0,0.02,0.0,0.0,1384.56,761.51,1.01
mu_age_p[84],0.01,0.01,0.0,0.02,0.0,0.0,1345.18,764.06,1.01
mu_age_p[85],0.01,0.0,0.0,0.01,0.0,0.0,1306.82,766.62,1.01
mu_age_p[86],0.01,0.0,0.0,0.01,0.0,0.0,1271.41,762.17,1.01
mu_age_p[87],0.0,0.0,0.0,0.01,0.0,0.0,1239.58,754.35,1.01
mu_age_p[88],0.0,0.0,0.0,0.01,0.0,0.0,1213.48,742.02,1.01
mu_age_p[89],0.0,0.0,0.0,0.01,0.0,0.0,1192.36,741.52,1.01
mu_age_p[90],0.0,0.0,0.0,0.01,0.0,0.0,1322.65,2364.72,1.01
mu_age_p[91],0.0,0.0,0.0,0.01,0.0,0.0,1333.05,2504.56,1.01
mu_age_p[92],0.0,0.0,0.0,0.01,0.0,0.0,1332.67,2493.23,1.01
mu_age_p[93],0.0,0.0,0.0,0.01,0.0,0.0,1328.79,2461.06,1.01
mu_age_p[94],0.0,0.0,0.0,0.01,0.0,0.0,1325.17,2419.25,1.01
mu_age_p[95],0.0,0.0,0.0,0.01,0.0,0.0,1320.99,2561.59,1.01
mu_age_p[96],0.0,0.0,0.0,0.0,0.0,0.0,1316.56,2635.07,1.01
mu_age_p[97],0.0,0.0,0.0,0.0,0.0,0.0,1313.02,2840.59,1.01
mu_age_p[98],0.0,0.0,0.0,0.0,0.0,0.0,1312.39,2872.76,1.01
mu_age_p[99],0.0,0.0,0.0,0.0,0.0,0.0,1315.76,2893.35,1.01
mu_age_p[100],0.0,0.0,0.0,0.0,0.0,0.0,1920.3,3289.67,1.01
cum_sum_mu_p[0],0.0,0.0,0.0,0.0,0.0,0.0,4902.64,5227.83,1.0
