age,sex,mean,lower_ci,upper_ci
54,Male,0.00460460245514371,0.003325358776829207,0.0062524173113048176
55,Male,0.004859231019888325,0.003481403636786001,0.006643164722271076
56,Male,0.005233741815708171,0.003839717184470865,0.007037483624277175
57,Male,0.005624288375658038,0.004153658634972273,0.00750271902311139
58,Male,0.0059891803101144595,0.004432851336867703,0.0079912599420727
59,Male,0.006335228404347153,0.0046658576695946365,0.008486381251875836
60,Male,0.006682129709552265,0.004880615591678674,0.009015597457374947
61,Male,0.007329038265027712,0.005473126246221166,0.009718720588484202
62,Male,0.00800772803917331,0.006027894676231727,0.01052869582323711
63,Male,0.00871243810947459,0.006551818162649517,0.011471903309090549
64,Male,0.009470457978328043,0.007073649332743032,0.012537009639463656
65,Male,0.010220023962696511,0.007560876637331819,0.013615033554304769
66,Male,0.01139538304610888,0.008571962731537694,0.014949339759868457
67,Male,0.012528451957207483,0.009482538049726982,0.016373581052482628
68,Male,0.013605940813332216,0.010266651384213872,0.017826263090300554
69,Male,0.014621539995125006,0.010928207153260573,0.019311100990005544
70,Male,0.015686643014728652,0.011594362383965502,0.02090161688423077
71,Male,0.017536324061116597,0.01326883016542938,0.022943523924929342
72,Male,0.019570018338238678,0.01487446581154177,0.025496341290010584
73,Male,0.02107350156240182,0.015990640087083015,0.027448404968221977
74,Male,0.022998758230964766,0.017282920839860036,0.030114622731523898
75,Male,0.02525926350307139,0.018740937133964415,0.03335099019814362
76,Male,0.028100849769382253,0.02122072985339865,0.03656533440993165
77,Male,0.03088641373199431,0.023298731107716388,0.040123223436822536
78,Male,0.03415891634421761,0.0256312372668854,0.044717385945296416
79,Male,0.037453965055073715,0.027775735188815376,0.04950301469956765
80,Male,0.04060310520856911,0.029824124891300336,0.054179921795312766
81,Male,0.0450767026437994,0.03368946806631438,0.05921359349576752
82,Male,0.04947573967796728,0.03712670393540016,0.06473220137834687
83,Male,0.05339323569341025,0.039890433287592904,0.07007276958705184
84,Male,0.05735620124963143,0.04239082140950907,0.0757413423366947
85,Male,0.06104374081527808,0.04461861176157783,0.08143457047005118
86,Male,0.06485280508080013,0.04789649070710785,0.08537488236266882
87,Male,0.06885609007923724,0.05102243738179043,0.0905092610471798
88,Male,0.07267889156792454,0.05334256749915115,0.0961464695756601
89,Male,0.07633002378433124,0.055229990332243184,0.10170557893762927
90,Male,0.08015097587957203,0.05715869185649973,0.10824097905937213
91,Male,0.08280878689205097,0.05940119659738306,0.11099363658150352
92,Male,0.0852933217585328,0.061036308208760326,0.11439028092948342
93,Male,0.08718767244491514,0.061923010821735264,0.11769088506475801
94,Male,0.08918797455565805,0.06258074294271397,0.12162556561706282
95,Male,0.08833422381273896,0.06071923371740262,0.12241443665680216
96,Male,0.09064511001175826,0.062442186092891955,0.12550772841661284
97,Male,0.09295574238671761,0.06376157719569914,0.12905259173385808
98,Male,0.09526606721990442,0.06493162064682043,0.13312870505490243
99,Male,0.09757603947168024,0.06598912268128553,0.13739127912538537
100,Male,0.09988549393136838,0.06682372680141464,0.14211104177431289
0,Female,0.0,0.0,0.0
1,Female,0.0,0.0,0.0
2,Female,0.0,0.0,0.0
3,Female,0.0,0.0,0.0
4,Female,0.0,0.0,0.0
5,Female,0.0,0.0,0.0
6,Female,0.0,0.0,0.0
7,Female,0.0,0.0,0.0
8,Female,0.0,0.0,0.0
9,Female,0.0,0.0,0.0
10,Female,0.0,0.0,0.0
11,Female,0.0,0.0,0.0
12,Female,0.0,0.0,0.0
13,Female,0.0,0.0,0.0
14,Female,0.0,0.0,0.0
15,Female,0.0,0.0,0.0
16,Female,0.0,0.0,0.0
17,Female,0.0,0.0,0.0
18,Female,0.0,0.0,0.0
19,Female,0.0,0.0,0.0
20,Female,0.0,0.0,0.0
21,Female,0.0,0.0,0.0
22,Female,0.0,0.0,0.0
23,Female,0.0,0.0,0.0
24,Female,0.0,0.0,0.0
25,Female,0.0,0.0,0.0
26,Female,0.0,0.0,0.0
27,Female,0.0,0.0,0.0
28,Female,0.0,0.0,0.0
29,Female,0.0,0.0,0.0
30,Female,2.6726448190252713e-07,3.6559895359870946e-14,1.3386919066694742e-06
31,Female,8.38508610630536e-05,1.5393691117410632e-05,0.00026462132497854075
32,Female,0.00016779155401366478,3.060867375909355e-05,0.0005302152235492158
33,Female,0.00025199224606848355,4.5853417716349564e-05,0.0007964205724127946
34,Female,0.00033633653519052646,6.11983132591166e-05,0.0010632162089057025
35,Female,0.00042081948483173683,7.659967419048065e-05,0.001330696608176279
36,Female,0.0005214347279277999,0.00012280489822238765,0.0014332586282145854
37,Female,0.0006220938712607701,0.00014518113067183162,0.0015780388323139286
38,Female,0.0007228069700644024,0.0001606327028869213,0.001760118193475082
39,Female,0.0008238694234919281,0.0001723319819821044,0.001980674440150072
40,Female,0.0009254841020794327,0.0001832124955847111,0.002249441915764681
41,Female,0.0011287593302550844,0.00044994474329275994,0.002326988836752754
42,Female,0.0013325282787959435,0.00058591216871729,0.0024182873820229015
43,Female,0.0015367967007765319,0.0006777049457877987,0.0025104803844515494
44,Female,0.0017401175089007213,0.0007590112688509656,0.002670211986091152
45,Female,0.0019416590799220363,0.0008234437336801795,0.0029217998037406262
46,Female,0.002071696306609667,0.0011080856632008482,0.0030248602299098194
47,Female,0.00220126147255746,0.0013511964037793431,0.003155209363205647
48,Female,0.002329655522718178,0.0015414388467538352,0.003303559462315929
49,Female,0.0024594157388562977,0.0016729565760808796,0.0034708028753566407
50,Female,0.0025880827623744186,0.0017778378120261458,0.0036437917737718165
51,Female,0.0027533428680100265,0.0019316570237718994,0.0038143733429113437
52,Female,0.0029186563691052086,0.0020717332122453273,0.004009261346216166
53,Female,0.0030857021257948585,0.0021977787207520957,0.0042281606609022694
54,Female,0.00324129386211834,0.002305397914454145,0.004452631703991358
55,Female,0.0034177411203989636,0.0024154212004231994,0.00471935256341141
56,Female,0.003681770635609734,0.0026490503616337147,0.005016711588043265
57,Female,0.00396049629807695,0.002870667412923143,0.005368758042934016
58,Female,0.004233196566554437,0.003063140415639738,0.005751531058675019
59,Female,0.004513477042257498,0.0032472773108398107,0.006164696231653978
60,Female,0.004793813894910669,0.0034160352156924027,0.006591649562516915
61,Female,0.0052841333600444785,0.003836094800663376,0.007173829002974848
62,Female,0.005779417570068465,0.004214976990181544,0.007826798240500393
63,Female,0.0062762702106264395,0.004577184278002107,0.008513688273844877
64,Female,0.006775999883274905,0.0048961498062264994,0.009245070658592761
65,Female,0.007271753736145398,0.0052062793471351,0.009999615911009988
66,Female,0.008085887976561307,0.005870457336015045,0.010947761155384204
67,Female,0.008891392196935115,0.006471296244684851,0.012005484268218599
68,Female,0.009698448371999778,0.007036909619824713,0.013157798139746069
69,Female,0.010474274854768127,0.007527278686535682,0.014295860537430762
70,Female,0.01126994015415377,0.008024075289259382,0.01552927519516141
71,Female,0.012714029624839729,0.009233668886239096,0.01722357669113509
